,Unnamed: 0,Index,company,company_location,review_date,Bean_Country,Bean_Province,cocoa_percent,rating,num_ingredients,cocoa_butter,vanilla,lecithin,salt,sugar,alternative_sweetener,first_taste,second_taste,third_taste,fourth_taste
745,745,745,ENNA,U.S.A,2019,Trinidad,"Maiden Voyage Estate, Herbert Pasqual",72.0,3.5,3,Yes,No,No,No,Yes,No,muddy,rainins,nut,rubbery
747,747,747,ENNA,U.S.A,2019,Sierra leone,Gola Rainforest,70.0,2.5,3,Yes,No,No,No,Yes,No,dirty,earthy,burnt,honey
748,748,748,Erithaj (A. Morin),France,2014,Vietnam,Ben Tre,70.0,3.25,3,Yes,No,No,No,Yes,No,spicy,green,long,intense
749,749,749,Erithaj (A. Morin),France,2014,Vietnam,"Ba Lai, Mekong Delta",74.0,3.25,3,Yes,No,No,No,Yes,No,grit,smoke,wood,blackberry
760,760,760,Ethel's Artisan (Mars),U.S.A,2011,Blend,"Venezuela, Trinidad",62.0,2.5,4,Yes,Yes,No,No,Yes,No,gritty,sweet,vanilla,woody
769,769,769,Feitoria Cacao,Portugal,2016,Venezuela,Cuyagua,76.0,2.5,2,No,No,No,No,Yes,No,fatty,sandy,nutty,off notes
771,771,771,Felchlin,Switzerland,2006,Ecuador,Arriba,72.0,3.5,5,Yes,Yes,Yes,No,Yes,No,fatty,rich,spice,nutty
782,782,782,Finnia,Canada,2020,Mexico,Mexico,70.0,3.0,3,Yes,No,No,No,Yes,No,banana,bland,sour,off
812,812,812,Foundry,New zealand,2019,Papua new guinea,"Kulkul P., Karkar Island, 2018 h., batch PK019",70.0,3.0,2,No,No,No,No,Yes,No,off,tropical,vegetal,rubbery
823,823,823,Franceschi,Venezuela,2018,Venezuela,"Chuao, batch 4, Lot DH17",85.0,3.0,2,No,No,No,No,Yes,No,sl. dry,gritty,fruity,nuts
850,850,850,Fresco,U.S.A,2011,Venezuela,"Chuao, #218, MR, MC, batch 11-020",76.0,3.25,3,Yes,No,No,No,Yes,No,bready,nutty,earthy,intense
857,857,857,Fresco,U.S.A,2012,Papua new guinea,"Markham Valley, #221, DR, MC",69.0,3.5,2,No,No,No,No,Yes,No,smoke,fruit,sour,hammy
870,870,870,Fresco,U.S.A,2018,Venezuela,Carupano Pintao,72.0,3.5,3,Yes,No,No,No,Yes,No,complex,nuts,spice,floral
901,901,901,Friis Holm (Bonnat),Denmark,2015,Nicaragua,La Dalia,60.0,3.0,3,Yes,No,No,No,Yes,No,oily,sweet,dairy,bland
906,906,906,Fruition,U.S.A,2013,Ecuador,Camino Verde,75.0,3.0,3,Yes,No,No,No,Yes,No,sandy,sweet,molasses,floral
908,908,908,Fruition,U.S.A,2014,Peru,Maranon,76.0,3.0,3,Yes,No,No,No,Yes,No,acidic,undefined,brownie,off
911,911,911,Fruition,U.S.A,2019,Madagascar,"Sambirano, Akessons, batch 1",74.0,3.75,2,No,No,No,No,Yes,No,balanced,fruit,nut,roasty
919,919,919,Georgia Ramon,Germany,2015,Dominican republic,Conacado Coop,70.0,3.5,4,Yes,No,Yes,No,Yes,No,sticky,spice,roasty,earthy
921,921,921,Georgia Ramon,Germany,2015,Madagascar,Akesson P.,75.0,3.5,4,Yes,No,Yes,No,Yes,No,red fruit,tart,fat,leathery
925,925,925,Georgia Ramon,Germany,2018,Guatemala,Cahabon E.,72.0,2.75,3,Yes,No,No,No,Yes,No,dry,grainy,spicy,roasty
953,953,953,Guittard,U.S.A,2006,Colombia,Chucuri,65.0,3.0,5,Yes,Yes,Yes,No,Yes,No,creamy,sweet,floral,vanilla
956,956,956,Guittard,U.S.A,2007,Blend,Quetzalcoatl,72.0,3.5,5,Yes,Yes,Yes,No,Yes,No,creamy,sandy,nutmeg,moss
960,960,960,Guittard,U.S.A,2009,Blend,Complexite,70.0,3.5,5,Yes,Yes,Yes,No,Yes,No,complex,fruit,nut,raisin
964,964,964,Guittard,U.S.A,2011,Blend,Lever du Soleil,61.0,3.25,5,Yes,Yes,Yes,No,Yes,No,sweet,creamy,floral,orange
979,979,979,Habitual,Canada,2014,Blend,Downtown London,65.0,2.75,3,Yes,No,No,No,Yes,No,molasses,sweet,long,cocoa
981,981,981,Hacienda El Castillo,Ecuador,2014,Ecuador,Don Homero- Cerecita Valley,70.0,3.0,4,Yes,No,Yes,No,Yes,No,chewy,fatty,sweet,nutty
986,986,986,Harper Macaw,U.S.A,2016,Brazil,"Vale do Juliana, w/ nibs",85.0,3.25,3,Yes,No,No,No,Yes,No,powdery,rich,coffee,roasty
994,994,994,Heinde & Verre,Netherlands,2019,Venezuela,"Porcelana, Maracaibo",71.0,3.0,4,Yes,No,Yes,No,Yes,No,nutty,sweet,fatty,sandy
995,995,995,Heinde & Verre,Netherlands,2019,Indonesia,"Pulau, Bali",71.0,2.5,4,Yes,No,Yes,No,Yes,No,rubber,fatty,sandy,grape
1012,1012,1012,hexx,U.S.A,2015,Madagascar,Madagascar,74.0,3.0,2,No,No,No,No,No,Yes,sandy,tart,tangy,palm
1025,1025,1025,Hogarth,New zealand,2019,Venezuela,"Porcelana, Lake Maracaibo",68.0,3.25,3,Yes,No,No,No,Yes,No,high acid,sweet,nut,strawberry
1034,1034,1034,Holy Cacao,Israel,2009,Ivory coast,Ivory Coast,70.0,2.5,2,No,No,No,No,Yes,No,dry,sour,cheesey,off
1037,1037,1037,Holy Cacao,Israel,2015,Trinidad,Gran Couva,70.0,3.5,4,Yes,No,Yes,No,Yes,No,creamy,nutty,tea,fatty
1042,1042,1042,Hotel Chocolat,U.k.,2015,St. lucia,"Pepiniere, single Cote",70.0,2.75,2,No,No,No,No,Yes,No,smoke,cocoa,fruit,fuel
1070,1070,1070,Idilio (Felchlin),Switzerland,2011,Venezuela,Coopertiva Amazona w/ nibs,72.0,4.0,3,Yes,No,No,No,Yes,No,peanut,coffee,cocoa,bread
1081,1081,1081,Indi,U.S.A,2014,Honduras,Honduras,77.0,3.0,3,Yes,No,No,No,Yes,No,buttery,intense,spice,roasty
1090,1090,1090,Izard,U.S.A,2015,Belize,"Maya Mountain, Toledo, Batch 29",70.0,3.5,2,No,No,No,No,Yes,No,intense,cherry,rich,metallic
1102,1102,1102,Johnny Iuzzini,U.S.A,2018,Trinidad,"Tabaquite, batch 12",80.0,3.25,4,Yes,No,Yes,No,Yes,No,bold,spice,sour fruit,gritty
1103,1103,1103,Johnny Iuzzini,U.S.A,2018,India,"Anamalai, batch 8",66.0,3.0,4,Yes,No,Yes,No,Yes,No,gritty,coffee,sweet,hammy
1116,1116,1116,Kah Kow - USA,Dominican republic,2019,Dominican republic,Mata Larga,71.5,3.5,3,Yes,No,No,No,Yes,No,creamy,balanced,fig,cocoa
1127,1127,1127,Kallari (Ecuatoriana),Ecuador,2008,Ecuador,Diego 48hr/ W.F. blend prototype,85.0,2.75,4,Yes,Yes,No,No,Yes,No,creamy,nutty,bitter,flat
1161,1161,1161,L.A. Burdick (Felchlin),U.S.A,2010,Venezuela,Venzuela,71.0,3.0,5,Yes,Yes,Yes,No,Yes,No,cocoa,nutty,acidic,burning
1178,1178,1178,La Maison du Chocolat (Valrhona),France,2009,Blend,Kuruba,60.0,3.0,4,Yes,No,Yes,No,Yes,No,rich,sweet,cocoa,intense
1179,1179,1179,La Maison du Chocolat (Valrhona),France,2011,Grenada,Grenada,68.0,3.5,4,Yes,No,Yes,No,Yes,No,rich,vegetal,banana,spice
1181,1181,1181,La Maison du Chocolat (Valrhona),France,2013,Tobago,Tobago,60.0,3.25,4,Yes,No,Yes,No,Yes,No,creamy,rich,dairy,nutty
1183,1183,1183,La Maison du Chocolat (Valrhona),France,2013,Blend,"Cuana, 2013, Africa, Carribean, C. Am.",74.0,2.75,4,Yes,No,Yes,No,Yes,No,brownie,cocoa,sour,sweet
1187,1187,1187,Laia aka Chat-Noir,France,2014,Cuba,Cuba,70.0,2.75,4,Yes,No,Yes,No,Yes,No,fatty,roasty,coffee,off note
1190,1190,1190,Laia aka Chat-Noir,France,2015,Sao tome,"Sao Tome, Batch 151",75.0,3.5,4,Yes,No,Yes,No,Yes,No,rich,roasty,nutty,smoke
1191,1191,1191,Laia aka Chat-Noir,France,2015,Peru,"Peru, Batch 51/100",75.0,3.25,4,Yes,No,Yes,No,Yes,No,sandy,fatty,roasty,fruit
1196,1196,1196,Laia aka Chat-Noir,France,2015,Vietnam,"Vietnam, Batch 50/100",75.0,2.75,4,Yes,No,Yes,No,Yes,No,gritty,roasty,waxy,off
1215,1215,1215,Letterpress,U.S.A,2017,Peru,Ucayali,70.0,4.0,3,Yes,No,No,No,Yes,No,mild,licorice,coffee,cocoa
1231,1231,1231,Lonohana,U.S.A,2013,U.s.a.,"Hawai'i Island, Hawaiian Crown, Kona Vanilla",70.0,3.5,4,Yes,Yes,No,No,Yes,No,sandy,floral,vanilla,candy
1282,1282,1282,Manoa,U.S.A,2012,Liberia,"Liberia, batch 174",72.0,3.25,3,Yes,No,No,No,Yes,No,molassses,intense,off,herb
1285,1285,1285,Manoa,U.S.A,2012,U.s.a.,"Hawai'i Island, Hamakua, Hawaiian Crown, b. 176",72.0,2.75,3,Yes,No,No,No,Yes,No,oily,tangy,fruit,earthy
1290,1290,1290,Manoa,U.S.A,2019,U.s.a.,"Hawai'i Island, Hilo and Kona regions",70.0,3.5,3,Yes,No,No,No,Yes,No,dried fruit,spicy,sticky,intense
1320,1320,1320,Marou,Vietnam,2012,Vietnam,Ben Tre,78.0,3.5,3,Yes,No,No,No,Yes,No,sticky,pepper,cinamon,rich
1325,1325,1325,Marou,Vietnam,2015,Vietnam,Ben Tre,68.0,3.5,2,No,No,No,No,Yes,No,roasty,rich,coffee,nut
1334,1334,1334,Mast Brothers,U.S.A,2010,Venezuela,Ocumare de la Costa,75.0,3.0,2,No,No,No,No,Yes,No,dry,sticky,nutty,earthy
1339,1339,1339,Mast Brothers,U.S.A,2011,Dominican republic,Conacado,73.0,3.25,2,No,No,No,No,Yes,No,dry,gritty,red berry,coffee
1341,1341,1341,Mast Brothers,U.S.A,2011,Venezuela,"Chuao, Dark Roast",70.0,3.0,2,No,No,No,No,Yes,No,dry,sandy,intense,berry
1344,1344,1344,Mast Brothers,U.S.A,2011,Papua new guinea,Papua New Guinea,71.0,2.75,2,No,No,No,No,Yes,No,gritty,sticky,smoke,hammy
1345,1345,1345,Mast Brothers,U.S.A,2012,Blend,"Shake Shack, Peru, Mad., Dom. Rep.",73.0,3.5,2,No,No,No,No,Yes,No,gritty,fruit,tart,rich
1352,1352,1352,Matale,Australia,2013,Papua new guinea,"Kulili P., 2013",74.0,4.0,3,Yes,No,No,No,Yes,No,creamy,grassy,smoke,nut
1355,1355,1355,Maverick,U.S.A,2014,Peru,"Morropon, Norandiono Coop, Piura",63.0,3.5,3,Yes,No,No,No,Yes,No,sweet,cherry,cream,raisin
1358,1358,1358,Maverick,U.S.A,2014,Peru,Tumbes,82.0,3.25,2,No,No,No,No,Yes,No,intense,burnt,bitter,spice
1364,1364,1364,McGuire,Canada,2020,Guatemala,"Cahabon E., ""Adioesmac""",70.0,2.5,3,Yes,No,No,No,Yes,No,musty,woody,rubbery,roasty
1372,1372,1372,Mellow,Denmark,2019,Dominican republic,"Oko Caribe, El Cibao, 2018 Harvest",70.0,2.75,2,No,No,No,No,No,Yes,dry,floral,dirty,coconut
1376,1376,1376,Mesocacao,Honduras,2014,Honduras,Honduras,70.0,3.5,3,Yes,No,No,No,Yes,No,intense,grassy,spicy,rich
1381,1381,1381,Mesocacao,Honduras,2015,El salvador,El Salvador,80.0,2.75,3,Yes,No,No,No,Yes,No,fatty,bitter,woody,roasty
1400,1400,1400,Michel Cluizel,France,2019,Guatemala,La Laguna Plantation,70.0,3.5,4,Yes,Yes,No,No,Yes,No,dairy,cocoa,fatty,apple
1401,1401,1401,Michel Cluizel,France,2019,Brazil,Riachuelo Plantation,70.0,3.0,4,Yes,Yes,No,No,Yes,No,sandy,grits,nutty,vanilla
1420,1420,1420,Millesime,Belgium,2019,India,"Kaithapara Village, Idukki, Kerala, 2017 H.",74.0,3.0,3,Yes,No,No,No,Yes,No,dry,sandy,empty,sweet
1421,1421,1421,Millesime,Belgium,2019,Brazil,"Fazenda Leolinad, Bahia, 2017 H.",76.0,3.0,3,Yes,No,No,No,Yes,No,dry,sandy,dirt,empty
1432,1432,1432,Mirzam,U.a.e.,2019,Tanzania,Kokoa Kamili,72.0,3.75,3,Yes,No,No,No,Yes,No,complex,fruit,nut,rich
1433,1433,1433,Misina,Czech republic,2020,Vietnam,Vietnam,70.0,3.5,3,Yes,No,No,No,Yes,No,sour fig,cocoa,creamy,fatty
1437,1437,1437,Moho,U.S.A,2010,Belize,"Umoho R., Toledo District, San Felipe",67.0,2.75,3,Yes,No,No,No,Yes,No,rough,sweet,dairy,vanilla
1453,1453,1453,MUCHO,Mexico,2020,Mexico,"Finca La Rioja E., Cacahoatan, Chiapas",70.0,3.0,3,Yes,No,No,No,Yes,No,light color,spicy,sweet,sour
1464,1464,1464,Naive,Lithuania,2013,Blend,Trinidad & Tobago,70.0,3.75,4,Yes,No,Yes,No,Yes,No,sandy,floral,spice,roasty
1470,1470,1470,Naive,Lithuania,2019,Nicaragua,"Rugoso, nanolot for Cacao Review",67.0,2.75,3,Yes,No,No,No,Yes,No,strong,rubbery,woody,sweet
